customer_id,recency_days,frequency,monetary,R,F,M,segment
12346,529,2,169.36,1,2,1,Hibernating
12347,2,8,4921.53,5,4,5,Champions
12348,75,5,1658.3999999999999,3,4,4,Loyal
12349,19,3,3678.69,5,3,5,Loyal
12350,310,1,294.4,2,1,2,Hibernating
12351,375,1,300.93,2,1,2,Hibernating
12352,36,9,1609.21,4,5,4,Champions
12353,204,2,406.76,2,2,2,Hibernating
12354,232,1,1079.4,2,1,3,Hibernating
12355,214,2,947.61,2,2,3,Hibernating
12356,23,6,5611.73,4,4,5,Champions
12357,33,2,17437.66,4,2,5,Big spenders
12358,2,5,3447.07,5,4,5,Champions
12359,58,10,8765.29,4,5,5,Champions
12360,52,6,3612.89,4,4,5,Champions
12361,287,4,451.25,2,3,2,At risk
12362,3,10,4688.38,5,5,5,Champions
12363,110,2,552.0,3,2,2,Hibernating
12364,8,4,1208.1,5,3,4,Loyal
12365,291,1,320.69,2,1,2,Hibernating
12366,634,1,500.24,1,1,2,Hibernating
12367,4,1,150.9,5,1,1,Promising
12368,628,1,917.6999999999999,1,1,3,Hibernating
12369,413,3,1511.15,1,3,4,At risk
12370,51,7,3956.56,4,4,5,Champions
12371,60,4,3347.38,3,3,5,Loyal
12372,72,3,1196.04,3,3,4,Loyal
12373,311,3,927.6500000000001,2,3,3,At risk
12374,25,3,2669.22,4,3,4,Loyal
12375,11,2,377.5,5,2,2,Promising
12376,390,2,383.15,2,2,2,Hibernating
12377,315,4,3266.32,2,3,5,Big spenders
12378,130,2,5416.32,3,2,5,Big spenders
12379,82,4,1470.22,3,3,4,Loyal
12380,22,8,7175.25,4,4,5,Champions
12381,5,3,1459.81,5,3,4,Loyal
12383,185,5,1628.56,3,4,4,Loyal
12384,29,2,425.27000000000004,4,2,2,Promising
12385,379,1,1668.4,2,1,4,Big spenders
12386,338,2,401.9,2,2,2,Hibernating
12387,415,1,143.94,1,1,1,Hibernating
12388,16,8,3901.11,5,4,5,Champions
12389,403,3,1433.33,2,3,4,Big spenders
12390,80,1,504.84000000000003,3,1,2,Hibernating
12391,22,6,2724.84,4,4,4,Champions
12392,591,1,234.75000000000003,1,1,1,Hibernating
12393,72,6,2399.4500000000003,3,4,4,Loyal
12394,64,2,1080.48,3,2,3,Hibernating
12395,19,15,4226.32,5,5,5,Champions
12396,674,1,931.43,1,1,3,Hibernating
12397,36,2,2214.9,4,2,4,Big spenders
12398,46,1,1435.66,4,1,4,Big spenders
12399,119,7,1842.3,3,4,4,Loyal
12400,414,1,205.25,1,1,1,Hibernating
12401,303,1,69.3,2,1,1,Hibernating
12402,323,6,1124.15,2,4,3,At risk
12403,50,2,947.36,4,2,3,Promising
12405,149,1,1390.39,3,1,4,Big spenders
12406,22,5,6087.16,4,4,5,Champions
12407,50,5,1507.1200000000001,4,4,4,Champions
12408,33,8,3893.17,4,4,5,Champions
12409,79,6,23101.26,3,4,5,Loyal
12410,309,3,773.71,2,3,3,At risk
12411,410,1,346.9,1,1,2,Hibernating
12412,75,6,2404.93,3,4,4,Loyal
12413,67,4,871.45,3,3,3,Loyal
12414,217,3,442.41,2,3,2,At risk
12415,24,23,143214.52,4,5,5,Champions
12416,657,1,202.56,1,1,1,Hibernating
12417,3,20,5978.46,5,5,5,Champions
12418,113,4,2021.2,3,3,4,Loyal
12419,386,2,391.01,2,2,2,Hibernating
12420,64,1,600.39,3,1,3,Hibernating
12421,16,6,874.6,5,4,3,Champions
12422,96,12,3639.35,3,5,5,Loyal
12423,1,10,2291.19,5,5,4,Champions
12424,163,4,3323.6800000000003,3,3,5,Loyal
12425,78,2,1680.81,3,2,4,Big spenders
12426,195,2,1185.31,2,2,3,Hibernating
12427,22,3,639.32,4,3,3,Loyal
12428,26,8,6405.26,4,4,5,Champions
12429,9,8,5792.01,5,4,5,Champions
12430,43,1,216.4,4,1,1,Promising
12431,36,25,9995.76,4,5,5,Champions
